# Original file        :    
# Ephemeris file       :    
# Number of data points:    9849
# TIMDAYRF             :    1996-Jul-24 00:00:00.00
# TIMDAYRF (JD)        :    2450288.5
#
#         TIME               DATA             ERROR         X Position      Y Position      Z Position   
#          (s)            (Counts/s)       (Counts/s)          (Km)            (Km)            (Km)      
#
     50288.0241435184         0.625000         0.279509       -5571.069       -4197.793          48.510
     50288.0242592595         0.800000         0.282843       -5525.275       -4257.721          53.710
     50288.0243750000         1.100000         0.331662       -5478.831       -4317.149          58.903
     50288.0244907406         0.800000         0.282843       -5431.743       -4376.069          64.089
     50288.0246064817         0.900000         0.300000       -5384.016       -4434.475          69.268
     50288.0247222222         1.200000         0.346410       -5335.656       -4492.359          74.438
     50288.0248379628         1.300000         0.360555       -5286.668       -4549.715          79.600
     50288.0249537039         0.200000         0.141421       -5237.059       -4606.535          84.753
     50288.0250694444         0.800000         0.282843       -5186.834       -4662.814          89.895
     50288.0251851850         0.400000         0.200000       -5135.998       -4718.545          95.027
     50288.0253009261         1.200000         0.346410       -5084.559       -4773.720         100.147
     50288.0254166666         0.800000         0.282843       -5032.521       -4828.334         105.256
     50288.0255324072         1.000000         0.316228       -4979.892       -4882.380         110.352
     50288.0256481483         0.700000         0.264575       -4926.677       -4935.852         115.435
     50288.0257638888         0.400000         0.200000       -4872.882       -4988.743         120.505
     50288.0258796294         0.600000         0.244949       -4818.514       -5041.048         125.561
     50288.0259953705         1.100000         0.331662       -4763.579       -5092.759         130.601
     50288.0261111110         1.000000         0.316228       -4708.084       -5143.871         135.626
     50288.0262268516         1.300000         0.360555       -4652.035       -5194.378         140.636
     50288.0263425927         1.100000         0.331662       -4595.439       -5244.274         145.628
     50288.0264583332         0.700000         0.264575       -4538.301       -5293.553         150.604
     50288.0265740743         1.100000         0.331662       -4480.630       -5342.209         155.562
     50288.0266898149         0.800000         0.282843       -4422.432       -5390.237         160.501
     50288.0268055554         1.400000         0.374166       -4363.713       -5437.630         165.421
     50288.0269212965         1.200000         0.346410       -4304.481       -5484.384         170.322
     50288.0270370371         1.100000         0.331662       -4244.742       -5530.492         175.203
     50288.0271527776         1.400000         0.374166       -4184.504       -5575.949         180.063
     50288.0272685187         0.800000         0.282843       -4123.773       -5620.750         184.902
     50288.0273842593         1.100000         0.331662       -4062.557       -5664.889         189.719
     50288.0274999999         0.800000         0.282843       -4000.863       -5708.362         194.514
     50288.0276157409         1.200000         0.346410       -3938.698       -5751.163         199.285
     50288.0277314815         0.700000         0.264575       -3876.069       -5793.287         204.033
     50288.0278472221         1.000000         0.316228       -3812.984       -5834.729         208.757
     50288.0279629631         0.900000         0.300000       -3749.450       -5875.484         213.457
     50288.0280787037         0.800000         0.282843       -3685.475       -5915.547         218.131
     50288.0281944443         0.800000         0.282843       -3621.066       -5954.915         222.780
     50288.0283101853         0.600000         0.244949       -3556.231       -5993.581         227.402
     50288.0284259259         0.300000         0.173205       -3490.977       -6031.541         231.997
     50288.0285416665         1.000000         0.316228       -3425.312       -6068.792         236.565
     50288.0286574075         1.200000         0.346410       -3359.244       -6105.328         241.105
     50288.0287731481         1.400000         0.374166       -3292.780       -6141.145         245.616
     50288.0288888887         1.000000         0.316228       -3225.929       -6176.238         250.099
     50288.0290046297         1.600000         0.400000       -3158.697       -6210.605         254.552
     50288.0291203703         0.200000         0.141421       -3091.094       -6244.240         258.975
     50288.0292361113         0.900000         0.300000       -3023.127       -6277.140         263.367
     50288.0293518519         0.900000         0.300000       -2954.803       -6309.301         267.728
     50288.0294675925         1.200000         0.346410       -2886.132       -6340.719         272.058
     50288.0295833335         1.200000         0.346410       -2817.121       -6371.390         276.355
     50288.0296990741         1.000000         0.316228       -2747.778       -6401.310         280.620
     50288.0298148147         1.100000         0.331662       -2678.111       -6430.476         284.851
     50288.0299305557         0.600000         0.244949       -2608.129       -6458.885         289.049
     50288.0300462963         0.800000         0.282843       -2537.840       -6486.534         293.213
     50288.0301620369         1.000000         0.316228       -2467.252       -6513.418         297.342
     50288.0302777779         0.700000         0.264575       -2396.373       -6539.535         301.436
     50288.0303935185         0.900000         0.300000       -2325.212       -6564.881         305.495
     50288.0305092591         0.700000         0.264575       -2253.777       -6589.454         309.517
     50288.0306250001         0.700000         0.264575       -2182.076       -6613.250         313.503
     50288.0307407407         1.125000         0.375000       -2110.119       -6636.268         317.451
     50288.0308564813         1.200000         0.346410       -2037.912       -6658.503         321.363
     50288.0309722223         1.200000         0.346410       -1965.466       -6679.954         325.236
     50288.0310879629         1.400000         0.374166       -1892.788       -6700.618         329.070
     50288.0312037035         0.700000         0.264575       -1819.887       -6720.492         332.866
     50288.0313194445         0.900000         0.300000       -1746.771       -6739.574         336.623
     50288.0314351851         1.300000         0.360555       -1673.450       -6757.862         340.340
     50288.0315509262         0.900000         0.300000       -1599.931       -6775.353         344.016
     50288.0316666667         0.600000         0.244949       -1526.224       -6792.046         347.652
     50288.0317824073         0.700000         0.264575       -1452.337       -6807.938         351.246
     50288.0318981484         1.000000         0.316228       -1378.279       -6823.028         354.800
     50288.0320138889         1.100000         0.331662       -1304.058       -6837.313         358.311
     50288.0321296295         0.900000         0.300000       -1229.684       -6850.792         361.780
     50288.0322453706         0.900000         0.300000       -1155.164       -6863.464         365.206
     50288.0323611111         0.600000         0.244949       -1080.509       -6875.327         368.589
     50288.0324768517         1.400000         0.374166       -1005.726       -6886.379         371.928
     50288.0325925928         0.800000         0.282843        -930.824       -6896.619         375.224
     50288.0327083333         1.300000         0.360555        -855.813       -6906.046         378.475
     50288.0328240739         1.400000         0.374166        -780.701       -6914.658         381.681
     50288.0329398150         0.800000         0.282843        -705.496       -6922.456         384.842
     50288.0330555555         1.100000         0.331662        -630.209       -6929.436         387.957
     50288.0331712961         1.800000         0.424264        -554.847       -6935.600         391.027
     50288.0332870372         0.900000         0.300000        -479.420       -6940.946         394.051
     50288.0334027777         1.000000         0.316228        -403.936       -6945.473         397.027
     50288.0335185183         1.600000         0.400000        -328.405       -6949.181         399.957
     50288.0336342594         2.200000         0.469042        -252.834       -6952.069         402.840
     50288.0337499999         1.000000         0.316228        -177.234       -6954.137         405.675
     50288.0338657405         2.100000         0.458258        -101.613       -6955.385         408.462
     50288.0339814816         2.200000         0.469042         -25.981       -6955.813         411.200
     50288.0340972221         2.700000         0.519615          49.655       -6955.419         413.890
     50288.0342129632         2.300000         0.479583         125.286       -6954.206         416.531
     50288.0343287038         2.900000         0.538516         200.901       -6952.171         419.123
     50288.0344444443         2.700000         0.519615         276.493       -6949.317         421.665
     50288.0345601854         4.400000         0.663325         352.052       -6945.642         424.157
     50288.0346759260         3.000000         0.547723         427.569       -6941.148         426.600
     50288.0347916665         2.900000         0.538516         503.036       -6935.835         428.991
     50288.0349074076         2.800000         0.529150         578.444       -6929.703         431.332
     50288.0350231482         3.300000         0.574456         653.783       -6922.753         433.622
     50288.0351388888         5.000000         0.707107         729.046       -6914.987         435.860
     50288.0352546298         4.300000         0.655744         804.222       -6906.404         438.047
     50288.0353703704         3.400000         0.583095         879.303       -6897.006         440.182
     50288.0354861110         3.100000         0.556776         954.281       -6886.794         442.265
     50288.0356018520         4.000000         0.632456        1029.146       -6875.769         444.295
     50288.0357175926         4.300000         0.655744        1103.889       -6863.933         446.273
     50288.0358333332         5.000000         0.707107        1178.502       -6851.286         448.199
     50288.0359490742         5.700000         0.754983        1252.977       -6837.830         450.071
     50288.0360648148         5.800000         0.761577        1327.303       -6823.567         451.890
     50288.0361805554         4.800000         0.692820        1401.472       -6808.498         453.655
     50288.0362962964         4.900000         0.700000        1475.476       -6792.625         455.366
     50288.0364120370         6.500000         0.806226        1549.306       -6775.951         457.024
     50288.0365277776         5.200000         0.721110        1622.953       -6758.476         458.628
     50288.0366435186         5.500000         0.741620        1696.408       -6740.203         460.177
     50288.0367592592         5.000000         0.707107        1769.663       -6721.134         461.672
     50288.0368750002         7.100000         0.842615        1842.708       -6701.271         463.112
     50288.0369907408         5.100000         0.714143        1915.537       -6680.617         464.497
     50288.0371064814         4.300000         0.655744        1988.139       -6659.173         465.827
     50288.0372222224         5.200000         0.721110        2060.506       -6636.943         467.103
     50288.0373379630         4.900000         0.700000        2132.629       -6613.930         468.322
     50288.0374537036         5.400000         0.734847        2204.501       -6590.135         469.487
     50288.0375694446         5.300000         0.728011        2276.113       -6565.561         470.595
     50288.0376851852         6.400000         0.800000        2347.455       -6540.212         471.648
     50288.0378009258         4.600000         0.678233        2418.520       -6514.090         472.645
     50288.0379166668         4.600000         0.678233        2489.300       -6487.198         473.586
     50288.0380324074         4.400000         0.663325        2559.785       -6459.540         474.471
     50288.0381481480         4.500000         0.670820        2629.968       -6431.119         475.300
     50288.0382638890         2.500000         0.500000        2699.840       -6401.938         476.073
     50288.0383796296         4.300000         0.655744        2769.394       -6372.000         476.789
     50288.0384953702         3.400000         0.583095        2838.620       -6341.309         477.448
     50288.0386111112         3.200000         0.565685        2907.510       -6309.869         478.051
     50288.0387268518         3.200000         0.565685        2976.057       -6277.684         478.598
     50288.0388425924         3.600000         0.600000        3044.252       -6244.756         479.087
     50288.0389583334         1.600000         0.400000        3112.087       -6211.090         479.520
     50288.0390740740         1.700000         0.412311        3179.555       -6176.690         479.896
     50288.0391898146         2.200000         0.469042        3246.646       -6141.560         480.215
     50288.0393055556         1.800000         0.424264        3313.354       -6105.704         480.478
     50288.0394212962         1.800000         0.424264        3379.671       -6069.127         480.683
     50288.0395370373         1.300000         0.360555        3445.587       -6031.831         480.831
     50288.0396527778         1.500000         0.387298        3511.097       -5993.823         480.922
     50288.0397685184         1.900000         0.435890        3576.191       -5955.106         480.957
     50288.0398842595         1.700000         0.412311        3640.863       -5915.685         480.934
     50288.0400000000         1.700000         0.412311        3705.104       -5875.565         480.854
     50288.0401157406         1.500000         0.387298        3768.907       -5834.750         480.718
     50288.0402314817         2.000000         0.447214        3832.264       -5793.245         480.524
     50288.0403472222         1.600000         0.400000        3895.168       -5751.055         480.273
     50288.0404629628         1.200000         0.346410        3957.612       -5708.185         479.966
     50288.0405787039         1.200000         0.346410        4019.587       -5664.640         479.601
     50288.0406944444         1.000000         0.316228        4081.087       -5620.425         479.180
     50288.0408101850         1.700000         0.412311        4142.105       -5575.545         478.702
     50288.0409259261         0.300000         0.173205        4202.633       -5530.006         478.167
     50288.0410416666         1.200000         0.346410        4262.663       -5483.813         477.575
     50288.0411574072         1.600000         0.400000        4322.190       -5436.971         476.927
     50288.0412731483         0.900000         0.300000        4381.205       -5389.486         476.222
     50288.0413888888         1.200000         0.346410        4439.702       -5341.364         475.460
     50288.0415046294         1.000000         0.316228        4497.674       -5292.609         474.643
     50288.0416203705         0.900000         0.300000        4555.113       -5243.229         473.769
     50288.0417361110         0.500000         0.223607        4612.014       -5193.229         472.838
     50288.0418518516         1.300000         0.360555        4668.370       -5142.614         471.852
     50288.0419675927         0.700000         0.264575        4724.173       -5091.390         470.810
     50288.0420833332         1.200000         0.346410        4779.417       -5039.565         469.712
     50288.0421990743         0.700000         0.264575        4834.095       -4987.143         468.558
     50288.0423148149         0.600000         0.244949        4888.202       -4934.131         467.349
     50288.0424305554         0.833333         0.372678        4941.730       -4880.535         466.084
     50288.0426620371         0.000000         0.000000        5047.027       -4771.618         463.388
     50288.0427777776         1.200000         0.346410        5098.782       -4716.309         461.958
     50288.0428935187         0.700000         0.264575        5149.934       -4660.441         460.473
     50288.0430092593         0.800000         0.282843        5200.476       -4604.023         458.933
     50288.0431249999         0.900000         0.300000        5250.403       -4547.059         457.339
     50288.0432407409         0.500000         0.223607        5299.709       -4489.558         455.690
     50288.0433564815         0.800000         0.282843        5348.388       -4431.525         453.988
     50288.0434722221         0.400000         0.200000        5396.433       -4372.968         452.232
     50288.0435879631         0.800000         0.282843        5443.840       -4313.893         450.421
     50288.0437037037         0.700000         0.264575        5490.602       -4254.307         448.558
     50288.0438194443         1.100000         0.331662        5536.715       -4194.218         446.641
     50288.0439351853         1.000000         0.316228        5582.172       -4133.632         444.671
     50288.0440509259         0.500000         0.223607        5626.969       -4072.557         442.649
     50288.0441666665         1.100000         0.331662        5671.099       -4011.001         440.574
     50288.0442824075         0.400000         0.200000        5714.558       -3948.969         438.446
     50288.0443981481         1.000000         0.316228        5757.340       -3886.470         436.267
     50288.0445138887         1.000000         0.316228        5799.441       -3823.510         434.036
     50288.0446296297         0.800000         0.282843        5840.856       -3760.098         431.753
     50288.0447453703         0.700000         0.264575        5881.579       -3696.241         429.419
     50288.0448611113         0.400000         0.200000        5921.605       -3631.947         427.034
     50288.0449768519         0.200000         0.141421        5960.931       -3567.222         424.599
     50288.0450925925         0.700000         0.264575        5999.551       -3502.075         422.113
     50288.0452083335         0.800000         0.282843        6037.460       -3436.513         419.577
     50288.0453240741         0.800000         0.282843        6074.655       -3370.545         416.991
     50288.0454398147         0.500000         0.223607        6111.130       -3304.177         414.355
     50288.0455555557         0.600000         0.244949        6146.882       -3237.419         411.671
     50288.0456712963         0.900000         0.300000        6181.905       -3170.276         408.937
     50288.0457870369         0.400000         0.200000        6216.197       -3102.759         406.155
     50288.0459027779         1.300000         0.360555        6249.753       -3034.874         403.325
     50288.0460185185         0.833333         0.372678        6282.569       -2966.630         400.447
     50288.0463657407         0.875000         0.330719        6376.537       -2759.821         391.528
     50288.0464814813         0.800000         0.282843        6406.354       -2690.221         388.462
     50288.0465972223         1.100000         0.331662        6435.412       -2620.302         385.350
     50288.0467129629         0.800000         0.282843        6463.709       -2550.072         382.191
     50288.0468287035         0.400000         0.200000        6491.240       -2479.541         378.988
     50288.0469444445         1.000000         0.316228        6518.002       -2408.715         375.739
     50288.0470601851         1.300000         0.360555        6543.992       -2337.605         372.446
     50288.0471759262         1.200000         0.346410        6569.207       -2266.218         369.109
     50288.0472916667         0.750000         0.306186        6593.644       -2194.562         365.728
     50288.0474074073         0.500000         0.223607        6617.300       -2122.646         362.303
     50288.0475231484         0.700000         0.264575        6640.173       -2050.479         358.836
     50288.0476388889         0.900000         0.300000        6662.259       -1978.070         355.325
     50288.0477546295         1.000000         0.316228        6683.555       -1905.425         351.773
     50288.0478703706         0.700000         0.264575        6704.061       -1832.556         348.179
     50288.0479861111         1.200000         0.346410        6723.772       -1759.469         344.543
     50288.0481018517         1.100000         0.331662        6742.686       -1686.173         340.867
     50288.0482175928         1.300000         0.360555        6760.802       -1612.678         337.150
     50288.0483333333         1.100000         0.331662        6778.117       -1538.992         333.393
     50288.0484490739         0.800000         0.282843        6794.630       -1465.124         329.596
     50288.0485648150         1.000000         0.316228        6810.337       -1391.082         325.761
     50288.0486805555         1.400000         0.374166        6825.238       -1316.876         321.886
     50288.0487962961         1.300000         0.360555        6839.330       -1242.513         317.973
     50288.0489120372         0.900000         0.300000        6852.612       -1168.003         314.023
     50288.0490277777         1.000000         0.316228        6865.082       -1093.355         310.035
     50288.0491435183         0.600000         0.244949        6876.739       -1018.577         306.011
     50288.0492592594         0.800000         0.282843        6887.582        -943.679         301.950
     50288.0493749999         0.600000         0.244949        6897.608        -868.669         297.853
     50288.0494907405         0.600000         0.244949        6906.818        -793.556         293.721
     50288.0496064816         0.700000         0.264575        6915.209        -718.349         289.554
     50288.0497222221         0.000000         0.000000        6922.781        -643.057         285.353
     50288.0498379632         1.500000         0.387298        6929.533        -567.688         281.117
     50288.0499537038         1.000000         0.316228        6935.464        -492.253         276.849
     50288.0500694443         1.400000         0.374166        6940.573        -416.759         272.547
     50288.0501851854         0.800000         0.282843        6944.860        -341.216         268.213
     50288.0503009260         0.900000         0.300000        6948.325        -265.632         263.847
     50288.0504166665         1.300000         0.360555        6950.966        -190.017         259.450
     50288.0505324076         0.700000         0.264575        6952.784        -114.380         255.022
     50288.0506481482         0.800000         0.282843        6953.778         -38.729         250.564
     50288.0507638888         1.000000         0.316228        6953.949          36.927         246.076
     50288.0508796298         0.600000         0.244949        6953.296         112.578         241.559
     50288.0509953704         0.800000         0.282843        6951.818         188.216         237.013
     50288.0511111110         0.400000         0.200000        6949.518         263.832         232.439
     50288.0512268520         1.100000         0.331662        6946.394         339.416         227.837
     50288.0513425926         1.000000         0.316228        6942.447         414.960         223.209
     50288.0514583332         0.700000         0.264575        6937.678         490.455         218.553
     50288.0515740742         1.000000         0.316228        6932.087         565.892         213.872
     50288.0516898148         1.300000         0.360555        6925.675         641.262         209.166
     50288.0518055554         1.000000         0.316228        6918.442         716.556         204.434
     50288.0519212964         1.300000         0.360555        6910.390         791.765         199.678
     50288.0520370370         0.400000         0.200000        6901.519         866.880         194.899
     50288.0521527776         1.000000         0.316228        6891.830         941.892         190.096
     50288.0522685186         1.100000         0.331662        6881.326        1016.793         185.271
     50288.0523842592         1.000000         0.316228        6870.006        1091.574         180.424
     50288.0525000002         1.000000         0.316228        6857.872        1166.225         175.555
     50288.0526157408         0.700000         0.264575        6844.926        1240.738         170.666
     50288.0527314814         1.000000         0.316228        6831.169        1315.104         165.756
     50288.0528472224         1.100000         0.331662        6816.602        1389.314         160.827
     50288.0529629630         0.800000         0.282843        6801.229        1463.359         155.878
     50288.0530787036         0.600000         0.244949        6785.050        1537.231         150.911
     50288.0531944446         0.800000         0.282843        6768.067        1610.922         145.927
     50288.0533101852         0.900000         0.300000        6750.282        1684.421         140.924
     50288.0534259258         0.700000         0.264575        6731.698        1757.721         135.905
     50288.0535416668         0.600000         0.244949        6712.316        1830.812         130.870
     50288.0536574074         1.400000         0.374166        6692.140        1903.687         125.819
     50288.0537731480         1.400000         0.374166        6671.171        1976.336         120.754
     50288.0538888890         0.700000         0.264575        6649.411        2048.751         115.674
     50288.0540046296         0.900000         0.300000        6626.864        2120.924         110.580
     50288.0541203702         0.500000         0.223607        6603.533        2192.845         105.473
     50288.0542361112         0.600000         0.244949        6579.419        2264.506         100.354
     50288.0543518518         0.625000         0.279509        6554.525        2335.900          95.223
     50288.0544675924         0.600000         0.244949        6528.856        2407.016          90.080
     50288.0545833334         0.900000         0.300000        6502.413        2477.848          84.927
     50288.0546990740         0.800000         0.282843        6475.201        2548.386          79.763
     50288.0548148146         0.800000         0.282843        6447.221        2618.622          74.590
     50288.0549305556         0.900000         0.300000        6418.478        2688.548          69.409
     50288.0550462962         0.700000         0.264575        6388.975        2758.156          64.219
     50288.0551620373         0.300000         0.173205        6358.715        2827.437          59.021
     50288.0552777778         0.900000         0.300000        6327.702        2896.383          53.816
     50288.0553935184         1.100000         0.331662        6295.940        2964.986          48.605
     50288.0555092595         0.700000         0.264575        6263.432        3033.239          43.388
     50288.0556250000         0.900000         0.300000        6230.183        3101.132          38.166
     50288.0557407406         1.200000         0.346410        6196.196        3168.657          32.940
     50288.0558564817         0.800000         0.282843        6161.475        3235.808          27.710
     50288.0559722222         1.100000         0.331662        6126.025        3302.575          22.476
     50288.0560879628         0.400000         0.200000        6089.849        3368.952          17.239
     50288.0562037039         0.400000         0.200000        6052.953        3434.929          12.001
     50288.0563194444         0.500000         0.223607        6015.339        3500.500           6.761
     50288.0564351850         0.200000         0.141421        5977.014        3565.656           1.520
     50288.0565509261         0.400000         0.200000        5937.981        3630.390          -3.720
     50288.0566666666         0.600000         0.244949        5898.245        3694.694          -8.961
     50288.0567824072         1.000000         0.316228        5857.810        3758.561         -14.200
     50288.0568981483         0.500000         0.223607        5816.682        3821.983         -19.438
     50288.0570138888         0.500000         0.223607        5774.866        3884.953         -24.673
     50288.0571296294         1.100000         0.331662        5732.366        3947.462         -29.906
     50288.0572453705         0.900000         0.300000        5689.188        4009.505         -35.135
     50288.0573611110         1.100000         0.331662        5645.336        4071.073         -40.359
     50288.0574768516         0.300000         0.173205        5600.816        4132.158         -45.579
     50288.0575925927         0.600000         0.244949        5555.632        4192.755         -50.794
     50288.0577083332         0.300000         0.173205        5509.792        4252.856         -56.003
     50288.0578240743         1.100000         0.331662        5463.299        4312.453         -61.204
     50288.0579398149         0.600000         0.244949        5416.160        4371.539         -66.399
     50288.0580555554         0.600000         0.244949        5368.379        4430.109         -71.586
     50288.0581712965         1.000000         0.316228        5319.963        4488.154         -76.764
     50288.0582870371         1.200000         0.346410        5270.918        4545.668         -81.933
     50288.0584027776         0.400000         0.200000        5221.249        4602.644         -87.093
     50288.0585185187         0.800000         0.282843        5170.962        4659.075         -92.242
     50288.0586342593         0.700000         0.264575        5120.063        4714.955         -97.380
     50288.0587499999         0.500000         0.223607        5068.559        4770.277        -102.507
     50288.0588657409         1.000000         0.316228        5016.454        4825.034        -107.621
     50288.0589814815         0.100000         0.100000        4963.756        4879.221        -112.723
     50288.0590972221         0.800000         0.282843        4910.471        4932.831        -117.812
     50288.0592129631         0.900000         0.300000        4856.605        4985.856        -122.886
     50288.0593287037         1.000000         0.316228        4802.164        5038.292        -127.946
     50288.0594444443         0.800000         0.282843        4747.155        5090.132        -132.990
     50288.0595601853         0.800000         0.282843        4691.584        5141.370        -138.019
     50288.0596759259         0.700000         0.264575        4635.459        5191.999        -143.032
     50288.0597916665         0.500000         0.223607        4578.785        5242.015        -148.027
     50288.0599074075         0.800000         0.282843        4521.569        5291.410        -153.005
     50288.0600231481         0.600000         0.244949        4463.819        5340.179        -157.965
     50288.0601388887         0.300000         0.173205        4405.540        5388.317        -162.906
     50288.0602546297         0.700000         0.264575        4346.740        5435.818        -167.828
     50288.0603703703         0.200000         0.141421        4287.427        5482.675        -172.730
     50288.0604861113         0.800000         0.282843        4227.606        5528.884        -177.612
     50288.0606018519         1.000000         0.316228        4167.285        5574.439        -182.472
     50288.0607175925         0.700000         0.264575        4106.471        5619.335        -187.311
     50288.0608333335         0.700000         0.264575        4045.172        5663.567        -192.127
     50288.0609490741         0.600000         0.244949        3983.394        5707.129        -196.921
     50288.0610648147         0.800000         0.282843        3921.146        5750.015        -201.691
     50288.0611805557         0.800000         0.282843        3858.433        5792.222        -206.438
     50288.0612962963         0.800000         0.282843        3795.265        5833.744        -211.160
     50288.0614120369         0.200000         0.141421        3731.647        5874.577        -215.857
     50288.0615277779         1.200000         0.346410        3667.588        5914.715        -220.528
     50288.0616435185         0.500000         0.223607        3603.096        5954.153        -225.173
     50288.0617592591         0.400000         0.200000        3538.178        5992.888        -229.792
     50288.0618750001         0.400000         0.200000        3472.841        6030.914        -234.383
     50288.0619907407         0.300000         0.173205        3407.094        6068.227        -238.947
     50288.0621064813         1.200000         0.346410        3340.944        6104.823        -243.482
     50288.0622222223         0.600000         0.244949        3274.399        6140.697        -247.988
     50288.0623379629         0.400000         0.200000        3207.467        6175.846        -252.465
     50288.0624537035         0.800000         0.282843        3140.156        6210.264        -256.912
     50288.0625694445         0.700000         0.264575        3072.474        6243.948        -261.329
     50288.0626851851         1.000000         0.316228        3004.428        6276.895        -265.714
     50288.0628009262         1.200000         0.346410        2936.028        6309.100        -270.068
     50288.0629166667         0.500000         0.223607        2867.280        6340.559        -274.390
     50288.0630324073         0.800000         0.282843        2798.194        6371.269        -278.680
     50288.0631481484         0.400000         0.200000        2728.777        6401.226        -282.936
     50288.0632638889         0.600000         0.244949        2659.038        6430.426        -287.159
     50288.0633796295         0.500000         0.223607        2588.984        6458.867        -291.348
     50288.0634953706         0.500000         0.223607        2518.624        6486.545        -295.503
     50288.0636111111         0.400000         0.200000        2447.967        6513.456        -299.622
     50288.0637268517         0.800000         0.282843        2377.021        6539.598        -303.706
     50288.0638425928         0.700000         0.264575        2305.793        6564.967        -307.754
     50288.0639583333         0.900000         0.300000        2234.293        6589.561        -311.765
     50288.0640740739         0.800000         0.282843        2162.530        6613.376        -315.740
     50288.0641898150         0.900000         0.300000        2090.511        6636.410        -319.677
     50288.0643055555         0.800000         0.282843        2018.245        6658.660        -323.576
     50288.0644212961         0.400000         0.200000        1945.740        6680.124        -327.437
     50288.0645370372         1.000000         0.316228        1873.006        6700.799        -331.260
     50288.0646527777         0.900000         0.300000        1800.050        6720.682        -335.042
     50288.0647685183         0.900000         0.300000        1726.882        6739.771        -338.786
     50288.0648842594         0.700000         0.264575        1653.510        6758.065        -342.489
     50288.0649999999         0.500000         0.223607        1579.942        6775.561        -346.151
     50288.0651157405         0.600000         0.244949        1506.188        6792.256        -349.773
     50288.0652314816         0.600000         0.244949        1432.256        6808.150        -353.353
     50288.0653472221         0.800000         0.282843        1358.155        6823.240        -356.891
     50288.0654629632         0.900000         0.300000        1283.894        6837.524        -360.387
     50288.0655787038         0.900000         0.300000        1209.481        6851.000        -363.841
     50288.0656944443         0.700000         0.264575        1134.925        6863.668        -367.251
     50288.0658101854         0.700000         0.264575        1060.236        6875.526        -370.618
     50288.0659259260         0.300000         0.173205         985.421        6886.572        -373.941
     50288.0660416665         0.400000         0.200000         910.489        6896.805        -377.219
